date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200505,0050,元大台灣50,83.50,83.80,83.00,83.40,+0.40,0.48,7810636,3986,651512279,2299000,263000,2036000,112000,0,112000,533000,2005000,-1472000,676000
20200505,0051,元大中型100,32.93,33.39,32.93,33.05,+0.12,0.36,19832,23,656070,0,0,0,0,0,0,7000,9000,-2000,-2000
20200505,0052,富邦科技,63.50,63.50,62.80,62.80,-0.20,-0.32,209583,36,13245979,1000,0,1000,0,0,0,156000,162000,-6000,-5000
20200505,0053,元大電子,38.35,38.38,38.17,38.24,+0.18,0.47,9064,9,347276,0,0,0,0,0,0,3000,2000,1000,1000
20200505,0054,元大台商50,22.50,22.64,22.46,22.48,+0.29,1.31,39000,13,878920,0,0,0,0,0,0,38000,24000,14000,14000
20200505,0055,元大MSCI金融,17.01,17.01,16.90,16.93,+0.08,0.47,33269,28,564362,0,0,0,0,0,0,6000,19000,-13000,-13000
20200505,0056,元大高股息,27.20,27.49,27.12,27.33,+0.24,0.89,16350420,6590,446505963,34000,33000,1000,130000,0,130000,5966000,784000,5182000,5313000
20200505,0057,富邦摩台,55.15,55.15,54.65,54.70,0.00,0.00,95000,8,5195250,0,0,0,0,0,0,92000,95000,-3000,-3000
20200505,0061,元大寶滬深,16.90,17.29,16.90,17.29,+0.37,2.19,323537,112,5533124,1000,21000,-20000,0,0,0,0,10000,-10000,-30000
20200505,006203,元大MSCI台灣,39.39,39.39,39.23,39.23,+0.15,0.38,2000,2,78620,0,0,0,0,0,0,1000,0,1000,1000
20200505,006204,永豐臺灣加權,53.55,53.65,53.55,53.65,+0.40,0.75,21001,4,1124702,0,0,0,0,0,0,21000,21000,0,0
20200505,006205,富邦上証,27.98,27.98,27.71,27.79,+0.01,0.04,2097095,269,58261435,0,978000,-978000,0,0,0,1245000,1006000,239000,-739000
20200505,006206,元大上證50,29.30,29.32,29.01,29.05,-0.07,-0.24,505675,92,14696481,0,400000,-400000,0,0,0,365000,53000,312000,-88000
20200505,006207,FH滬深,21.90,21.90,21.62,21.70,-0.02,-0.09,716000,63,15535010,9000,474000,-465000,0,0,0,426000,39000,387000,-78000
20200505,006208,富邦台50,47.90,47.97,47.65,47.78,+0.08,0.17,1180558,381,56432349,0,0,0,0,0,0,780000,1010000,-230000,-230000
20200505,00625K,富邦上証+R,6.90,6.90,6.90,6.90,0.00,0.00,50000,2,345000,0,0,0,0,0,0,50000,50000,0,0
20200505,00631L,元大台灣50正2,42.80,43.26,42.25,42.74,+0.56,1.33,11954033,3220,511730347,270000,553000,-283000,0,0,0,3267000,3037000,230000,-53000
20200505,00632R,元大台灣50反1,10.48,10.56,10.42,10.49,-0.07,-0.66,212636777,10162,2231222369,10982000,1394000,9588000,0,0,0,40656000,139105000,-98449000,-88861000
20200505,00633L,富邦上証正2,38.78,38.80,38.46,38.78,+0.28,0.73,7375300,1572,285060120,263000,2367000,-2104000,0,0,0,445000,1825000,-1380000,-3484000
20200505,00634R,富邦上証反1,5.97,5.98,5.94,5.95,-0.03,-0.5,867000,117,5170830,0,0,0,0,0,0,89000,143000,-54000,-54000
20200505,00635U,元大S&P黃金,24.18,24.19,24.11,24.16,-0.06,-0.25,1127890,365,27224812,2000,0,2000,0,0,0,174000,466000,-292000,-290000
20200505,00636,國泰中國A50,19.50,19.60,19.36,19.45,+0.04,0.21,505934,174,9837531,0,334000,-334000,0,0,0,120000,63336,56664,-277336
20200505,00636K,國泰中國A50+U,6.48,6.48,6.48,6.48,+0.01,0.15,100,1,648,0,0,0,0,0,0,100,100,0,0
20200505,00637L,元大滬深300正2,14.96,14.97,14.82,14.95,+0.10,0.67,47383882,4916,706042950,1017000,6935000,-5918000,0,0,0,4741000,23468000,-18727000,-24645000
20200505,00638R,元大滬深300反1,11.92,12.00,11.91,11.97,+0.01,0.08,787000,131,9417100,400000,10000,390000,0,0,0,201000,27000,174000,564000
20200505,00639,富邦深100,10.71,10.72,10.65,10.69,+0.03,0.28,2107460,176,22499345,3000,844000,-841000,0,0,0,1279000,1059000,220000,-621000
20200505,00640L,富邦日本正2,15.50,15.54,15.37,15.45,+0.05,0.32,426000,65,6578220,0,0,0,0,0,0,300000,327000,-27000,-27000
20200505,00641R,富邦日本反1,15.59,15.59,15.32,15.50,-0.07,-0.45,251000,67,3874060,5000,13000,-8000,0,0,0,152000,100000,52000,44000
20200505,00642U,元大S&P石油,8.84,8.91,8.69,8.76,+0.20,2.34,58496999,14289,516927042,30000,4000,26000,0,0,0,1623000,3514000,-1891000,-1865000
20200505,00643,群益深証中小,13.00,13.00,12.88,12.92,+0.01,0.08,541211,135,6990308,0,380000,-380000,0,0,0,120000,98000,22000,-358000
20200505,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505,00645,富邦日本,18.52,18.60,18.50,18.59,+0.12,0.65,75350,10,1401052,0,0,0,0,0,0,62000,60000,2000,2000
20200505,00646,元大S&P500,26.01,26.18,25.99,26.18,+0.52,2.03,1586995,353,41407677,271000,0,271000,0,0,0,107000,1132000,-1025000,-754000
20200505,00647L,元大S&P500正2,30.06,30.30,30.06,30.29,+0.97,3.31,1648000,435,49725730,51000,51000,0,0,0,0,620000,551000,69000,69000
20200505,00648R,元大S&P500反1,11.61,11.61,11.55,11.56,-0.20,-1.7,1567490,336,18144179,10000,0,10000,0,0,0,94000,729000,-635000,-625000
20200505,00650L,FH香港正2,20.80,21.01,20.72,20.96,+0.21,1.01,361000,136,7522810,0,0,0,0,0,0,121000,275000,-154000,-154000
20200505,00651R,FH香港反1,9.15,9.18,9.12,9.15,-0.03,-0.33,804002,98,7363628,0,0,0,0,0,0,230000,346000,-116000,-116000
20200505,00652,富邦印度,17.26,17.41,17.25,17.35,+0.10,0.58,727348,166,12616165,0,120000,-120000,0,0,0,40000,321000,-281000,-401000
20200505,00653L,富邦印度正2,16.15,16.15,15.83,15.88,-0.16,-1.0,14667038,2726,234286154,0,206000,-206000,0,0,0,257000,9037000,-8780000,-8986000
20200505,00654R,富邦印度反1,16.00,16.00,15.87,15.88,-0.05,-0.31,337000,84,5366000,85000,25000,60000,0,0,0,93000,23000,70000,130000
20200505,00655L,國泰中國A50正2,28.30,28.30,27.91,28.19,+0.21,0.75,5100000,824,143263080,10000,561000,-551000,0,0,0,1586000,3551000,-1965000,-2516000
20200505,00656R,國泰中國A50反1,10.89,10.92,10.86,10.86,-0.05,-0.46,205000,23,2233500,0,0,0,0,0,0,160000,77000,83000,83000
20200505,00657,國泰日經225,24.47,24.81,24.47,24.72,+0.62,2.57,174000,10,4308500,0,0,0,0,0,0,174000,171000,3000,3000
20200505,00657K,國泰日經225+U,8.29,8.29,8.29,8.29,+0.21,2.6,100,1,829,0,0,0,0,0,0,100,100,0,0
20200505,00660,元大歐洲50,20.24,20.30,20.23,20.28,+0.21,1.05,46000,27,932380,0,0,0,0,0,0,0,15000,-15000,-15000
20200505,00661,元大日經225,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505,00662,富邦NASDAQ,33.87,34.23,33.84,34.19,+1.06,3.2,558712,156,19053022,0,1000,-1000,0,0,0,128000,390000,-262000,-263000
20200505,00663L,國泰臺灣加權正2,38.15,38.64,37.70,38.16,+0.60,1.6,516003,132,19723504,0,0,0,0,0,0,331000,306000,25000,25000
20200505,00664R,國泰臺灣加權反1,11.95,11.99,11.84,11.90,-0.14,-1.16,26554986,2668,316484953,1000,100000,-99000,0,0,0,2395000,19978000,-17583000,-17682000
20200505,00665L,富邦恒生國企正2,20.10,20.10,19.71,19.87,+0.08,0.4,121000,48,2391740,0,17000,-17000,0,0,0,36000,57000,-21000,-38000
20200505,00666R,富邦恒生國企反1,14.00,14.00,14.00,14.00,-0.03,-0.21,80000,2,1120000,0,0,0,0,0,0,80000,80000,0,0
20200505,00668,國泰美國道瓊,25.74,25.86,25.72,25.85,+0.37,1.45,220113,110,5680256,0,41000,-41000,0,0,0,70000,29000,41000,0
20200505,00668K,國泰美國道瓊+U,8.63,8.63,8.63,8.63,+0.10,1.17,100,1,863,0,0,0,0,0,0,100,100,0,0
20200505,00669R,國泰美國道瓊反1,12.64,12.64,12.56,12.58,-0.19,-1.49,7586000,1025,95541480,11000,1408000,-1397000,0,0,0,1479000,2114000,-635000,-2032000
20200505,00670L,富邦NASDAQ正2,40.48,40.84,40.47,40.72,+1.77,4.54,2085000,702,84700900,12000,12000,0,0,0,0,1035000,177000,858000,858000
20200505,00671R,富邦NASDAQ反1,9.93,9.94,9.89,9.91,-0.23,-2.27,1895000,370,18772360,10000,0,10000,0,0,0,82000,1356000,-1274000,-1264000
20200505,00672L,元大S&P原油正2,3.20,3.20,3.06,3.10,+0.15,5.08,56939770,4263,176805429,0,416000,-416000,0,0,0,620000,260000,360000,-56000
20200505,00673R,元大S&P原油反1,44.50,44.73,44.15,44.33,-2.57,-5.48,1558308,659,69137002,0,0,0,0,0,0,396000,761000,-365000,-365000
20200505,00674R,元大S&P黃金反1,14.30,14.35,14.29,14.30,+0.01,0.07,621000,104,8896480,0,0,0,0,0,0,214000,230000,-16000,-16000
20200505,00675L,富邦臺灣加權正2,16.68,16.88,16.52,16.69,+0.24,1.46,568179,271,9504047,14000,2000,12000,0,0,0,201000,172000,29000,41000
20200505,00676R,富邦臺灣加權反1,6.45,6.49,6.40,6.43,-0.06,-0.92,16636000,2606,107154080,0,0,0,0,0,0,4276000,10828000,-6552000,-6552000
20200505,00677U,富邦VIX,7.17,7.20,7.11,7.17,-0.41,-5.41,179551250,16182,1284616174,2934000,45845000,-42911000,0,0,0,2029000,10143000,-8114000,-51025000
20200505,00678,群益NBI生技,23.98,24.15,23.98,24.02,+0.74,3.18,495140,105,11926179,0,0,0,0,0,0,400000,300000,100000,100000
20200505,00680L,元大美債20正2,33.56,33.56,33.36,33.36,-0.76,-2.23,46000,19,1536990,0,0,0,0,0,0,25000,10000,15000,15000
20200505,00681R,元大美債20反1,12.50,12.55,12.50,12.55,+0.15,1.21,24000,4,300700,0,0,0,0,0,0,10000,14000,-4000,-4000
